quant_stage,dna_plate_id,dna_extract_tube_id,sample_type,preservative,dna_plate_row,dna_plate_col,sample_id,pg_per_ul_mean,pg_per_ul_lwr95,pg_per_ul_upr95,flags
original,rme_preservative_dna_2024-11-06,rmep_16,sample,dess,A,1,wha-1123-ds,78.7780206349623,55.423511949443586,123.77861884846673,
original,rme_preservative_dna_2024-11-06,rmep_17,sample,buffer tl,B,1,adu-1123-tl,126.72666354491076,86.59479454346287,187.66408576268614,
original,rme_preservative_dna_2024-11-06,rmep_18,sample,dess,C,1,jre-1123-ds,71.28190441131606,50.000605504104314,108.3373897150661,
original,rme_preservative_dna_2024-11-06,rmep_19,sample,dess,D,1,adu-1123-ds,44.960125982707815,30.846745697257294,74.5449328257726,
original,rme_preservative_dna_2024-11-06,rmep_20,sample,buffer tl,E,1,wha-1123-tl,67.01349439141363,46.00227730359364,109.81476852991537,
original,rme_preservative_dna_2024-11-06,rmep_21,sample,buffer tl,F,1,sip-1123-tl,83.0325856162673,56.8072194746583,125.55985819707612,
original,rme_preservative_dna_2024-11-06,rmep_22,sample,buffer tl,G,1,agt-1123-tl,80.1140716940688,56.174118537659844,126.3589037139718,
original,rme_preservative_dna_2024-11-06,rmep_23,sample,buffer tl,H,1,cvi-1123-tl,210.5705071552307,145.40514693935611,301.0856493349145,
original,rme_preservative_dna_2024-11-06,rmep_25,sample,dess,A,2,rre-1123-ds,62.96582019839987,43.13414842780387,103.16276598152436,
original,rme_preservative_dna_2024-11-06,rmep_26,sample,dess,B,2,mch-1123-ds,48.6011164026777,35.461674251356555,76.31165667556611,
original,rme_preservative_dna_2024-11-06,rmep_27,sample,buffer tl,C,2,rre-1123-tl,402.8928204877368,262.33996812605744,569.1363337517787,
original,rme_preservative_dna_2024-11-06,rmep_28,field control,dess,E,2,nfc-1123-ds,46.20669966810315,29.522871094564792,92.19400150216903,
original,rme_preservative_dna_2024-11-06,rmep_29,sample,dess,F,2,okg-1123-ds,58.73197795654949,38.902007361793615,98.55803141611263,
original,rme_preservative_dna_2024-11-06,rmep_30,sample,dess,G,2,hpo-1123-ds,70.81617960535931,49.76046971460646,115.05460107521067,
original,rme_preservative_dna_2024-11-06,rmep_31,sample,buffer tl,H,2,mch-1123-tl,569.28718238637,367.7910067175247,821.868371304946,
original,rme_preservative_dna_2024-11-06,rmep_32,sample,dess,A,3,spo-1123-ds,55.27791845037671,37.83635930747718,93.07530383219148,
original,rme_preservative_dna_2024-11-06,rmep_33,sample,buffer tl,B,3,spo-1123-tl,114.2832434211605,80.9348641861269,174.31084997240345,
original,rme_preservative_dna_2024-11-06,rmep_34,sample,dess,C,3,sip-1123-ds,55.47824744795611,38.36915494115127,88.15063417775738,
original,rme_preservative_dna_2024-11-06,rmep_36,sample,buffer tl,D,3,okg-1123-tl,91.19166507443538,60.36511834547578,149.84014123418902,
original,rme_preservative_dna_2024-11-06,rmep_37,sample,buffer tl,E,3,cmu-1123-tl,55.992906726406446,38.34317702309515,91.45663091527278,
original,rme_preservative_dna_2024-11-06,rmep_38,sample,dess,F,3,agt-1123-ds,51.483198551360346,36.307308473283484,83.76515098583302,
original,rme_preservative_dna_2024-11-06,rmep_39,sample,buffer tl,G,3,cga-1123-tl,237.79501419843052,166.0276948943722,330.2936176892586,
original,rme_preservative_dna_2024-11-06,rmep_40,sample,dess,A,4,cmu-1123-ds,94.91388441413365,66.58244728139809,142.84391751605986,
original,rme_preservative_dna_2024-11-06,rmep_41,sample,dess,B,4,cvi-1123-ds,105.51194318539362,75.78068496661014,157.61765628781052,
original,rme_preservative_dna_2024-11-06,rmep_42,field control,buffer tl,C,4,nfc-1123-tl,137.24066262620372,79.01137049216194,223.77033898295284,Contaminated Control
original,rme_preservative_dna_2024-11-06,rmep_43,sample,buffer tl,D,4,hpo-1123-tl,106.95695931935649,75.0787533779226,160.57271095784242,
original,rme_preservative_dna_2024-11-06,rmep_44,sample,buffer tl,E,4,jre-1123-tl,191.40508056589715,127.54406138110882,291.4249912025369,
original,rme_preservative_dna_2024-11-06,rmep_45,sample,dess,F,4,cga-1123-ds,133.3604768885981,91.79031839173848,199.86104463865536,
original,rme_preservative_dna_2024-11-06,rmep_46,extraction control,elution buffer,D,2,nec-1104-nc,34.496060638552365,22.977474805407308,68.18012714039948,
original,rme_preservative_dna_2024-11-06,rmep_47,extraction control,elution buffer,H,3,nec-1104-nc,72.33200367424236,46.69904615414758,124.1908772781426,Contaminated Control
