"index","site","longitude","latitude"
1,"West Harbor",145.13077105237,14.1382110920915
2,"Cave Museum",145.149524693406,14.1577240548057
3,"Sailigai Point",145.156680237228,14.1651177603271
4,"Coconut Village",145.198661311915,14.1811445851989
5,"Rota Resort",145.21765330295,14.1903516994978
6,"Mochong",145.235283386624,14.1997824187648
7,"As Dudo",145.287430434306,14.1938705971436
8,"South I Chenchon Park",145.268060358378,14.1509715047572
9,"Agatasi",145.219034,14.119814
10,"Okgok",145.197202178467,14.1124363818219
11,"Coral Garden",145.168293345323,14.1179480911628
12,"Joanne's Reef",145.153566564862,14.1354862308384
13,"Harnom Point",145.121427646312,14.1177494178858
